image,Id,classes,classes_species,fold,count_individual_id
833675975.jpg,w_0003639,0,0,-1,1
2fe2cc5c0.jpg,w_0003c59,1,0,-1,1
cc6c1a235.jpg,w_0027efa,2,0,2,10
30eac8c9f.jpg,w_0027efa,2,0,3,10
7b9a5e4d8.jpg,w_0027efa,2,0,4,10
2f31725c6.jpg,w_0027efa,2,0,0,10
c5658abf0.jpg,w_0027efa,2,0,1,10
3c4235ad2.jpg,w_0027efa,2,0,2,10
ee87a2369.jpg,w_0027efa,2,0,3,10
5934e01ea.jpg,w_0027efa,2,0,4,10
47bd1d3bb.jpg,w_0027efa,2,0,0,10
b2acbd8df.jpg,w_0027efa,2,0,1,10
8d601c3e1.jpg,w_00289b1,3,0,2,2
4e6290672.jpg,w_00289b1,3,0,3,2
b2cabd9d8.jpg,w_002c810,4,0,-1,1
411ae328a.jpg,w_0032a46,5,0,-1,1
b9aefbbc8.jpg,w_003bae6,6,0,3,8
b758f5366.jpg,w_003bae6,6,0,4,8
204c7a64b.jpg,w_003bae6,6,0,0,8
3161ae9b9.jpg,w_003bae6,6,0,1,8
c5d1963ab.jpg,w_003bae6,6,0,2,8
40c421fb6.jpg,w_003bae6,6,0,3,8
46e4e976b.jpg,w_003bae6,6,0,4,8
399533efd.jpg,w_003bae6,6,0,0,8
108f230d8.jpg,w_00656c0,7,0,1,2
910e6297a.jpg,w_00656c0,7,0,2,2
2c63ff756.jpg,w_0066399,8,0,-1,1
20e7c6af4.jpg,w_007fefa,9,0,4,17
b393718ee.jpg,w_007fefa,9,0,0,17
39a1d98ec.jpg,w_007fefa,9,0,1,17
afe2914ad.jpg,w_007fefa,9,0,2,17
bdb41dba8.jpg,w_007fefa,9,0,3,17
6ad448ad7.jpg,w_007fefa,9,0,4,17
5561a4810.jpg,w_007fefa,9,0,0,17
28699a435.jpg,w_007fefa,9,0,1,17
23acb3957.jpg,w_007fefa,9,0,2,17
cd650e905.jpg,w_007fefa,9,0,3,17
8b279f035.jpg,w_007fefa,9,0,4,17
bf1eba5c2.jpg,w_007fefa,9,0,0,17
b3345a6e4.jpg,w_007fefa,9,0,1,17
4d050298e.jpg,w_007fefa,9,0,2,17
97bbaa304.jpg,w_007fefa,9,0,3,17
b1a97ef49.jpg,w_007fefa,9,0,4,17
1eccb4eba.jpg,w_007fefa,9,0,0,17
2d43e205a.jpg,w_00904a7,10,0,4,11
5c077dd40.jpg,w_00904a7,10,0,0,11
c48bb3cbf.jpg,w_00904a7,10,0,1,11
4afe20ae4.jpg,w_00904a7,10,0,2,11
c5f7b85de.jpg,w_00904a7,10,0,3,11
7afef4a83.jpg,w_00904a7,10,0,4,11
0d5777fc2.jpg,w_00904a7,10,0,0,11
4118566ef.jpg,w_00904a7,10,0,1,11
2885ea466.jpg,w_00904a7,10,0,2,11
6ca37fe7c.jpg,w_00904a7,10,0,3,11
b3ba738d7.jpg,w_00904a7,10,0,4,11
2c0892b4d.jpg,w_009c9c5,11,0,3,2
79fac8c6d.jpg,w_009c9c5,11,0,4,2
847b16277.jpg,w_00a41ba,12,0,-1,1
03be3723c.jpg,w_00b3dc2,13,0,-1,1
bd3f7ba02.jpg,w_00d50c9,14,0,2,6
47d9ad983.jpg,w_00d50c9,14,0,3,6
1cc6523fc.jpg,w_00d50c9,14,0,4,6
645300669.jpg,w_00d50c9,14,0,0,6
c938f9d6f.jpg,w_00d50c9,14,0,1,6
b94450f8e.jpg,w_00d50c9,14,0,2,6
77fef7f1a.jpg,w_00d5466,15,0,-1,1
67947e46b.jpg,w_00d5e98,16,0,-1,1
4bb9c9727.jpg,w_00f340d,17,0,0,2
e92c45748.jpg,w_00f340d,17,0,1,2
166a9e05d.jpg,w_010f858,18,0,1,5
3e2c4cfd4.jpg,w_010f858,18,0,2,5
a8d5237c0.jpg,w_010f858,18,0,3,5
2b95bba09.jpg,w_010f858,18,0,4,5
9ae676cb0.jpg,w_010f858,18,0,0,5
6662f0d1c.jpg,w_0115c24,19,0,-1,1
3ff8e6bd6.jpg,w_0118bab,20,0,4,2
5b2646a56.jpg,w_0118bab,20,0,0,2
4f495a9c8.jpg,w_012678c,21,0,3,5
a5494c65e.jpg,w_012678c,21,0,4,5
b66824129.jpg,w_012678c,21,0,0,5
ce0c11d45.jpg,w_012678c,21,0,1,5
918efff25.jpg,w_012678c,21,0,2,5
ecdce6d77.jpg,w_0135f5f,22,0,2,23
cb9c67d8d.jpg,w_0135f5f,22,0,3,23
58bc661b5.jpg,w_0135f5f,22,0,4,23
629366e7e.jpg,w_0135f5f,22,0,0,23
6c42cf29d.jpg,w_0135f5f,22,0,1,23
c5913842e.jpg,w_0135f5f,22,0,2,23
6d15db192.jpg,w_0135f5f,22,0,3,23
96a062dd9.jpg,w_0135f5f,22,0,4,23
04eec03fa.jpg,w_0135f5f,22,0,0,23
8c50ecf42.jpg,w_0135f5f,22,0,1,23
80dff8918.jpg,w_0135f5f,22,0,2,23
8a1d7cc66.jpg,w_0135f5f,22,0,3,23
cb5ae8f62.jpg,w_0135f5f,22,0,4,23
6a71f51dd.jpg,w_0135f5f,22,0,0,23
11116ae07.jpg,w_0135f5f,22,0,1,23
9751c04ca.jpg,w_0135f5f,22,0,2,23
ee07a850c.jpg,w_0135f5f,22,0,3,23
e10b500e5.jpg,w_0135f5f,22,0,4,23
fd7c7d248.jpg,w_0135f5f,22,0,0,23
6d5835281.jpg,w_0135f5f,22,0,1,23
bb187c817.jpg,w_0135f5f,22,0,2,23
bfb1f1b1e.jpg,w_0135f5f,22,0,3,23
97abf1d07.jpg,w_0135f5f,22,0,4,23
c74553589.jpg,w_0140c92,23,0,-1,1
6449aa341.jpg,w_015a4bf,24,0,-1,1
3b7460bd9.jpg,w_016f0ea,25,0,-1,1
95ab1e43b.jpg,w_0182687,26,0,2,2
7abceec23.jpg,w_0182687,26,0,3,2
e7fbbcac8.jpg,w_0189b6d,27,0,3,10
8b716044e.jpg,w_0189b6d,27,0,4,10
f30732646.jpg,w_0189b6d,27,0,0,10
fc0980b84.jpg,w_0189b6d,27,0,1,10
cadc185bb.jpg,w_0189b6d,27,0,2,10
07fc6156f.jpg,w_0189b6d,27,0,3,10
98da24de7.jpg,w_0189b6d,27,0,4,10
fe32facef.jpg,w_0189b6d,27,0,0,10
028bbb7af.jpg,w_0189b6d,27,0,1,10
0dc265a03.jpg,w_0189b6d,27,0,2,10
d5e83881e.jpg,w_01976db,28,0,-1,1
7a923e7ae.jpg,w_01a1d88,29,0,-1,1
c5ea2206c.jpg,w_01cb0c4,30,0,4,3
65d9f620f.jpg,w_01cb0c4,30,0,0,3
b6918b6a7.jpg,w_01cb0c4,30,0,1,3
0988577d9.jpg,w_01cbbbd,31,0,2,9
dc891c82e.jpg,w_01cbbbd,31,0,3,9
99b7c75cf.jpg,w_01cbbbd,31,0,4,9
056472b40.jpg,w_01cbbbd,31,0,0,9
c28829037.jpg,w_01cbbbd,31,0,1,9
ec6b7950e.jpg,w_01cbbbd,31,0,2,9
b9d2462fd.jpg,w_01cbbbd,31,0,3,9
6eb58cbba.jpg,w_01cbbbd,31,0,4,9
49ae08129.jpg,w_01cbbbd,31,0,0,9
bc5dc4f31.jpg,w_01d790e,32,0,-1,1
32618d9eb.jpg,w_01e1b97,33,0,-1,1
0b7cbf3f8.jpg,w_01e1fe0,34,0,-1,1
57ab7d806.jpg,w_01ed442,35,0,-1,1
a286f6ff3.jpg,w_01f14e1,36,0,2,6
